,Level,Slope,Curvature
1989-12-29,-0.39783422368548255,-0.23259164324906123,0.12919794499471937
1990-03-30,0.38029427850241354,0.21988980614007855,-0.13051758880312525
1990-06-29,-0.19878375928716005,-0.10762635244948504,-0.1406726659201455
1990-09-28,-0.4048233961196861,0.22340152868992322,-0.1260626347127458
1990-12-31,0.39822275726509804,-0.2010722099057794,0.11067025842426892
1991-03-29,0.377266441290504,-0.20585729805686734,0.10019382157129653
1991-06-28,-0.3972866420637248,0.2266463877087908,-0.10443626466191247
1991-09-30,-0.38035191148708564,-0.21338300216745712,-0.14287478831196077
1991-12-31,-0.37755430280876534,0.22412349626438233,0.14388918486515634
1992-03-31,0.38208381449606516,-0.21730476342271893,-0.11253804279551138
1992-06-30,0.3965836208621676,0.2268950210837773,-0.12376710777980748
1992-09-30,-0.3679203099169666,0.20816133905558173,0.13585500240639792
1992-12-31,0.35491779731848755,-0.20909514227475495,-0.12887829673670814
1993-03-31,0.3743116498744384,-0.2121108159106417,-0.15244400619801401
1993-06-30,-0.3538977989912686,0.13389825774140293,-0.05373027259697183
1993-09-30,-0.36700882209728647,0.2182027876731902,-0.14745316482705673
1993-12-31,0.4017839434230983,0.21588165114950422,0.13454337516597348
1994-03-31,-0.3869349049634007,0.21119583522726246,-0.14953404527472902
1994-06-30,0.4054227187320456,0.22778004503008226,-0.1319915637976884
1994-09-30,-0.3249363276870306,0.1671767063952367,-0.1387361694489858
1994-12-30,0.3538677158333534,0.15105211810687716,0.08249640372470995
1995-03-31,0.37555097220954453,-0.22148490775585158,0.13833145924691148
1995-06-30,-0.3767190055023824,0.034191203625481136,-0.03397930530529482
1995-09-29,-0.39667433874380253,0.18157054732551195,-0.09513473128005939
1995-12-29,0.3576236985482326,-0.21750837384522997,-0.10740613788410514
1996-03-29,-0.37908999032273366,-0.21319836229351655,-0.106678240460091
1996-06-28,-0.3939487409942333,0.21463780515343092,-0.07898087770888285
1996-09-30,0.34121985021571993,0.15110078063940044,-0.1202514735051915
1996-12-31,0.3963060962169349,-0.23079829944079583,-0.12143430585519699
1997-03-31,-0.399530354534488,0.19795024251438095,0.06466929414181366
1997-06-30,-0.3862455588814564,0.1958553206129824,0.11817541440548229
1997-09-30,0.19318858326781604,0.11636377846166679,0.14774972862832547
1997-12-31,-0.374393868494951,-0.21429384894834705,0.10817809212756013
1998-03-31,-0.3379524249561407,-0.19376952210007836,0.1567665084461548
1998-06-30,-0.3905516698775829,0.20587650572665506,0.13753316207082456
1998-09-30,-0.3925624674607544,0.2238197572961335,0.15017142308910392
1998-12-31,0.3748819035112881,0.21471749142793733,-0.09186115481686508
1999-03-31,0.39324054864266117,0.09728387533522277,-0.05220674179493974
1999-06-30,-0.39110582319286297,-0.2166225822295184,-0.062484635626850804
1999-09-30,-0.39462933847805765,-0.21496729434869966,-0.11587272754327149
1999-12-31,0.03652921605657217,0.011583148042665952,-0.12941718690671888
2000-03-31,0.3868726934111284,-0.20079465576685904,-0.04467347504867514
2000-06-30,0.26817410743594433,0.2021627118036206,-0.11813032610769825
2000-09-29,-0.4001222475875354,0.21936385485964444,0.1345853340743376
2000-12-29,0.35882982807249203,-0.1928009393253345,-0.145358432121794
2001-03-30,0.09999367885019057,-0.039323334941218355,0.1323014554036489
2001-06-29,-0.37082022316905744,0.214771637914383,0.1200169764514386
2001-09-28,-0.24334000739487993,0.08292144907809737,-0.11307887177941134
2001-12-31,0.37574429065347625,0.2109413433807156,-0.13703358927037057
2002-03-29,0.3559871307684315,-0.16777562388662792,0.08975262957953795
2002-06-28,0.34681822868068496,0.15991911801822167,0.10213163366630218
2002-09-30,-0.2903457220581345,-0.14638061359248794,0.12588630223240427
2002-12-31,-0.3549340552906531,0.20921370794297064,-0.12490547712241429
2003-03-31,-0.3740496855915935,0.21847346983562002,-0.15174202817817084
2003-06-30,-0.3464906232114782,-0.13696068149207505,0.03416449257460252
2003-09-30,-0.3387526949559767,0.13293615644620746,-0.07356168576297417
2003-12-31,0.3229958814020927,0.18776037911375396,0.12492978597354332
